nom|tipus|numero_inscripcio|data_inscripcio|adreca|poblacio|codiPostal|comarca|classificacioGeneral|classificacioEspecifica
Fundació Agraria Privada El Masnou|Fundació|839|1994/11/09|Carrer Puerto Rico , 15|Masnou|08320|Maresme|Cultural|Cultural ; Mediambientals
Fundació Agraria de Cabrils, Fundació Privada|Fundació|840|1994/11/02|Carrer Anselm Clavé , 6|Cabrils|08348|Maresme|Cultural|Mediambientals ; Cultural
Fundació Agraria de Vallirana, Fundació Privada|Fundació|854|1994/12/22|Carrer Major , 26|Vallirana|08759|Baix Llobregat|Cultural|Cultural ; Mediambientals
Fundació Agroterritori|Fundació|2635|2010/07/28|Ronda Ferran Puig , 18, bxs.|Girona|17001|Gironès|Cultural|Cultural
Fundació Agrupació Atlètica Catalunya|Fundació|1035|1997/01/13|Avinguda Rasos de Peguera , 242|Barcelona|08033|Barcelonès|Cultural|Esportives ; Cultural
Fundació Agrària Boscos, Fundació Privada|Fundació|934|1995/11/16|Carrer Verdaguer , 3|Santa Coloma de Farners|17430|Selva|Cultural|Cultural ; Mediambientals
Fundació Agrària Local d'Arbucies, Fundació Privada|Fundació|906|1995/07/24|Carrer Santa Fe , 1, bxs.|Arbúcies|17401|Selva|Cultural|Mediambientals ; Cultural
Fundació Agrària de Molins de Rei|Fundació|1066|1997/04/15|Carrer Foment , 5|Molins de Rei|08750|Baix Llobregat|Cultural|Cultural ; Altres activitats formatives
Fundació Agrària i Cultural de la Llagosta, Fundació Privada|Fundació|853|1994/12/22|Carrer Sant Josep , 27|Llagosta|08120|Vallès Oriental|Cultural|Cultural ; Mediambientals
Fundació Agrícola Catalana|Fundació|50|1984/06/15|Avinguda Diagonal , 467, 5è 2a|Barcelona|08036|Barcelonès|Cultural|Cultural ; Mediambientals
Fundació Agrícola Olesana, Fundació Privada|Fundació|848|1994/11/23|Carrer Anselm Clavé , 94|Olesa de Montserrat|08640|Baix Llobregat|Cultural|Cultural ; Mediambientals
Fundació Aigües de Manresa-Junta de la Sèquia|Fundació|696|1993/07/12|Carretera Santpedor (Masia de Can Font) , s/n|Manresa|08240|Bages|Cultural|Cultural ; Preservació del patrimoni cultural
Fundació Aito Garcia Reneses|Fundació|3024|2017/06/08|Carrer Frederic Mompou (Edifici Barcelona Oest) , 3, 6è|Sant Just Desvern|08960|Baix Llobregat|Cultural|Cultural
Fundació Ajudant Ajudar|Fundació|1508|2001/02/19|Carrer l'Avenir , 40, ent. 1a|Barcelona|08021|Barcelonès|Assistencial|Assistencial ; Aturats
Fundació Al Qantara Pont Mediterrani d'Amistat, Cultura, Formació i Cooperació a través de l'Hostaleria|Fundació|1908|2003/12/02|Carrer Ávila , 24-28, S-3|Barcelona|08005|Barcelonès|Cultural|Realització actes culturals ; Cultural ; Assistencial ; Immigració
Fundació Alba Futur|Fundació|2932|2015/12/10|Carrer Onze de Setembre , s/n|Tàrrega|25300|Urgell|Assistencial i Cultural|Assistencial ; Cultural
Fundació Albert Tomàs Bassols|Fundació|2364|2007/10/17|Carrer Roselló (territori Cap Ras) , 12|Llançà|17490|Alt Empordà|Cultural|Cultural
Fundació Albà-Hospital de Sant Miquel|Fundació|264|1986/09/18|Passeig de la Vall d'Hebron , 149-157|Barcelona|08035|Barcelonès|Assistencial|Atenció mèdica no hospitalària ; Assistencial
Fundació Aldees Infantils SOS de Catalunya|Fundació|266|1986/09/22|Carrer d'Ausiàs Marc , 7, 5è|Barcelona|08010|Barcelonès|Assistencial|Assistencial ; Infància i adolescència
Fundació Alfonso Comín|Fundació|277|1986/12/04|Avinguda República Argentina , 216, pral. 1a|Barcelona|08023|Barcelonès|Cultural|Cooperació al desenvolupament ; Cultural ; Assistencial
Fundació Alsina i Arenas i Baum de Bernis|Fundació|1528|2001/04/06|Carrer Bailén , 86, 1r 1aA|Barcelona|08009|Barcelonès|Cultural|Preservació del patrimoni cultural ; Cultural
Fundació Alsina i Bofill, Fundació Privada|Fundació|1230|1998/11/25|Carrer del Carme , 47|Barcelona|08001|Barcelonès|Cultural i Fins Científics|Cultural ; Fins científics ; Preservació del patrimoni cultural
Fundació Alumni UAB|Fundació|2956|2016/04/01|Torre Vila-Puig , s/n|Cerdanyola del Vallès|08193|Vallès Occidental|Cultural|Cultural
Fundació Alverna|Fundació|2988|2016/10/03|Avinguda Rovira i Virgili , 46, B, 7è 4a|Tarragona|43002|Tarragonès|Cultural|Cultural
Fundació Alícia, Alimentació i Ciència, Fundació Privada|Fundació|2059|2004/12/28|Camí de Sant Benet , s/n|Sant Fruitós de Bages|08272|Bages|Cultural i Fins Científics|Fins científics ; Cultural ; Realització actes culturals
Fundació Ametller|Fundació|2763|2013/05/10|Avinguda Mare de Déu de Montserrat , 67-71|Olèrdola|08734|Alt Penedès|Cultural|Cultural
Fundació Amics de l'Hospital del Mar|Fundació|2930|2015/12/10|Passeig Marítim , 25-29, 10|Barcelona|08003|Barcelonès|Assistencial|Assistencial
Fundació Amics del Claver|Fundació|720|1993/09/10|Finca Vallfonda , s/n|Raïmat|25111|Segrià|Docent|Altres activitats formatives ; Docent
Fundació Amàlia Soler|Fundació|402|1988/11/14|Carrer de la Cort , 12|Vilafranca del Penedès|08720|Alt Penedès|Assistencial|Pobres i indigents ; Assistencial
Fundació Ana Ribot Duran|Fundació|1560|2001/06/25|Carrer Vallès i Ribot , 2|Pallejà|08780|Baix Llobregat|Assistencial|Assistencial ; Residències
Fundació Andrena|Fundació|2978|2016/07/29|Carrer Sagrada Família , 7|Vic|08500|Osona|Cultural|Cultural
Fundació Andreu Guri|Fundació|314|1987/07/14|Casa Parroquial (C/Església, 24)|Arenys de Mar|08350|Maresme|Assistencial|Pobres i indigents ; Assistencial
Fundació Antic Hospital Sant Jaume d'Olot|Fundació|2051|2004/12/23|Carrer Mulleras , 15|Olot|17800|Garrotxa|Assistencial|Assistencial ; Hospitalàries
Fundació Antic Hospital de Vilafranca del Penedès|Fundació|509|1991/01/28|Carrer Sant Pere , 3|Vilafranca del Penedès|08720|Alt Penedès|Assistencial|Hospitalàries ; Assistencial
Fundació Antoni Cambrodí-Institut de Psicologia Evolutiva|Fundació|20|1984/02/22|Carrer Higini Anglès , 8, 1r 2a|Tarragona|43001|Tarragonès|Cultural|Cultural ; Discapacitats
Fundació Antoni Gaudí per a les Grans Ciutats|Fundació|2896|2015/03/27|Carrer Joan Güell , 198-200|Barcelona|08028|Barcelonès|Cultural|Cultural
Fundació Antoni de Montpalau pel Col·leccionisme i la Difusió del Tèxtil|Fundació|2845|2014/07/04|Carrer Gracia , 52, 1r|Sabadell|08201|Vallès Occidental|Cultural|Cultural
Fundació Areté|Fundació|2269|2006/11/23|Carrer Josep M. Selva , 2|Vic|08500|Osona|Assistencial i Cultural|Cultural ; Assistencial
Fundació Aroa|Fundació|1881|2003/10/21|Carrer Diputació , 466, 2n 4a|Barcelona|08013|Barcelonès|Fins Científics|Fins científics ; Atenció mèdica no hospitalària
Fundació Arqueològica Jordi Clos|Fundació|676|1993/06/15|Carrer València , 284, bxs.|Barcelona|08007|Barcelonès|Cultural|Preservació del patrimoni cultural ; Cultural
Fundació Arranz - Bravo|Fundació|2554|2009/03/02|Avinguda Josep Tarradellas (CC Tecla Sala) , 44|Hospitalet de Llobregat|08901|Barcelonès|Cultural|Cultural
Fundació Ars, Fundació Privada|Fundació|320|1987/09/08|Carrer Migdia , 16-18|Sabadell|08201|Vallès Occidental|Cultural|Cultural ; Editorials
Fundació Artur Martorell, Fundació Privada|Fundació|126|1984/12/18|Avinguda de les Drassanes , 3|Barcelona|08001|Barcelonès|Cultural|Docent ; Altres activitats formatives ; Cultural
Fundació Asilo Nicolás Font|Fundació|167|1985/05/16|Carrer Vall de Venècia , 65|Lloret de Mar|17310|Selva|Assistencial|Assistencial ; Residències
Fundació Aspace Catalunya|Fundació|3043|2017/12/20|Carrer Tres Pins , 31-35|Barcelona|08038|Barcelonès|Assistencial|Assistencial
Fundació Aspanin Patrimoni|Fundació|2736|2012/07/03|Carrer Sant Miquel , 55, 1r|Badalona|08911|Barcelonès|Assistencial|Assistencial
Fundació Asserta Foundation, Knowledge for Sustainable Healthcare|Fundació|2788|2013/11/20|Ronda Maiols , 1, Oficina, 303|Sant Quirze del Vallès|08192|Vallès Occidental|Cultural i Fins Científics|Fins científics ; Cultural
Fundació Assistencial d'Osona (FADO)|Fundació|2680|2011/06/27|Rambla Hospital , 52|Vic|08500|Osona|Assistencial|Assistencial
Fundació Assistencial de Mútua de Terrassa, Fundació Privada Catalana|Fundació|3000|2016/12/23|Carrer Sant Antoni , 32|Terrassa|08221|Vallès Occidental|Assistencial|Assistencial
Fundació Auditori - Palau de Congressos de Girona|Fundació|2315|2007/05/03|Carrer Parc de la Devesa|Girona|17001|Gironès|Cultural|Cultural
Fundació Aureli  M. Escarre, pels Drets Col·lectius dels Pobles|Fundació|879|1995/03/14|Carrer Pau Claris , 106, 1r 1a|Barcelona|08009|Barcelonès|Cultural|Cultural ; Promoció
Fundació Aurora|Fundació|2783|2013/10/18|Via Augusta , 15, desp 311|Barcelona|08008|Barcelonès|Cultural|Cultural
Fundació Autisme Mas Casadevall, Fundació Privada|Fundació|323|1987/10/06|Barri de Casals - Mas Casadevall , 13|Serinyà|17852|Pla de l'Estany|Assistencial|Assistencial ; Discapacitats
Fundació Autònoma Solidària|Fundació|1373|2000/02/11|Campus de la Universitat Autònoma de Barcelona  , Edifici A|Cerdanyola del Vallès|08193|Vallès Occidental|Assistencial i Cultural|Cooperació al desenvolupament ; Cultural ; Assistencial
Fundació Avedis Donabedian per a la Millora de la Qualitat Assistencial, Fundació Privada|Fundació|645|1993/01/11|Carrer Provença , 293, pral.|Barcelona|08037|Barcelonès|Assistencial|Famílies ; Assistencial
Fundació Avellana-Ortiz-Bajet-Mediavilla|Fundació|946|1996/02/20|Avinguda Diagonal , 427|Barcelona|08036|Barcelonès|Assistencial|Assistencial ; Religioses
Fundació BM Granollers|Fundació|1381|2000/03/01|Carrer Voluntaris del 92 , 1|Granollers|08402|Vallès Oriental|Cultural|Cultural ; Esportives
Fundació BTT|Fundació|2834|2014/06/05|Carrer Pintor Goya , s/n|Valldoreix|08197|Vallès Occidental|Cultural|Cultural
Fundació BZM, de Divulgació de la Música de Bach|Fundació|2847|2014/07/04|Carrer Milans , 7, 4t 2a|Barcelona|08002|Barcelonès|Cultural|Cultural
Fundació Badalona Capaç|Fundació|1125|1997/12/02|Carrer Juli Galve Brussons , 108-112|Badalona|08918|Barcelonès|Assistencial|Assistencial ; Discapacitats
Fundació Badalona Capital Europea del Bàsquet|Fundació|1702|2002/10/22|Plaça de la Vila , 1|Badalona|08911|Barcelonès|Cultural|Esportives ; Promoció ; Cultural
Fundació Baix Llobregat, Fundació Privada|Fundació|770|1994/04/06|Carrer Lluçanès , 1|Barcelona|08022|Barcelonès|Cultural|Cultural ; Promoció
Fundació Baldrich Romagosa|Fundació|2718|2012/03/27|Carrer Entença , 116, 2n 2a|Barcelona|08015|Barcelonès|Cultural|Cultural
Fundació Ballet de Catalunya|Fundació|2992|2016/10/19|Carrer Cervantes , 147, 1r B|Terrassa|08221|Vallès Occidental|Cultural|Cultural
Fundació Banc de Recursos|Fundació|1524|2001/04/02|Carrer Gran de Gràcia , 167, pral. 2a|Barcelona|08012|Barcelonès|Assistencial|Cooperació al desenvolupament ; Assistencial
Fundació Barberà Promoció|Fundació|1181|1998/06/09|Carrer Torre d'en Gorgs , 40|Barberà del Vallès|08210|Vallès Occidental|Docent|Altres activitats formatives ; Docent
Fundació Barcelona 1989 - Fundació Privada|Fundació|455|1989/09/25|Carrer Escoles Pies , 19, bxs.|Barcelona|08017|Barcelonès|Cultural|Cultural ; Promoció
Fundació Barcelona Comerç|Fundació|1974|2004/05/10|Carrer Ferlandina , 25, bxs.|Barcelona|08001|Barcelonès|Cultural|Promoció ; Cultural
Fundació Barcelona Education in Science and Technology (BEST)|Fundació|3040|2017/12/14|Avinguda Diagonal , 579, 3r pl.|Barcelona|08014|Barcelonès|Cultural i Docent|Cultural ; Docent
Fundació Barcelona Institute of Technology for the Habitat (Bit Habitat)|Fundació|2825|2014/04/10|Avinguda Diagonal , 240|Barcelona|08018|Barcelonès|Cultural|Cultural
Fundació Barcelona Mobile World Capital Foundation|Fundació|2717|2012/03/29|Carrer Roc Boronat , 117|Barcelona|08018|Barcelonès|Cultural i Fins Científics|Cultural ; Fins científics
Fundació Barcelona Respiratory Network|Fundació|2791|2013/11/20|Carrer Bruc , 65, 4t 3a|Barcelona|08009|Barcelonès|Cultural i Fins Científics|Cultural ; Fins científics
Fundació Barcelona Zoo|Fundació|2720|2012/03/27|Parc de la Ciutadella , s/n|Barcelona|08020|Barcelonès|Cultural|Cultural
Fundació Barcelona i Família|Fundació|944|1996/02/06|Carrer Bruc , 145|Barcelona|08037|Barcelonès|Cultural, Assistencial i Docent|Cultural ; Docent ; Infància i adolescència ; Assistencial
Fundació Barcelona per a les Immunodeficiències Primàries a Pediatria|Fundació|2859|2014/09/17|Avinguda Diagonal , 467, 5è 2a|Barcelona|08036|Barcelonès|Assistencial i Fins Científics|Fins científics ; Assistencial
Fundació Barcelona?eta Brain Research Center|Fundació|2765|2013/05/30|Carrer Wellington , 30|Barcelona|08005|Barcelonès|Fins Científics|Fins científics
Fundació Barcelonactua|Fundació|2943|2016/01/19|Carrer Milà i Fontanals , 29, 1r 1a|Barcelona|08012|Barcelonès|Cultural|Cultural
Fundació Barraquer|Fundació|1888|2003/10/31|Carrer Laforja , 82|Barcelona|08021|Barcelonès|Assistencial i Fins Científics|Hospitalàries ; Fins científics ; Assistencial
Fundació Bassa / Fundación Bassa|Fundació|2915|2015/07/27|Carrer Gran Via de les Corts Catalanes , 488, 4t 3a|Barcelona|08015|Barcelonès|Assistencial|Assistencial
Fundació Beat|Fundació|2897|2015/04/02|Carrer Rosselló , 283 bis, 2n 3a|Barcelona|08037|Barcelonès|Assistencial i Cultural|Assistencial ; Cultural
Fundació Bell-lloc, Fundació Privada, per Atencions Benèfiques, Educatives i Culturals|Fundació|89|1984/09/19|Carrer Can Pau Birol , 2-6|Girona|17005|Gironès|Cultural i Docent|Docent ; Gestió centres d'ensenyament ; Cultural
Fundació Bellaire|Fundació|2598|2009/12/14|Carrer Ramon Llull , 31|Cerdanyola del Vallès|08193|Vallès Occidental|Assistencial|Assistencial
Fundació Belloch-Pozzali, Fundació Privada|Fundació|146|1985/03/21|Carrer Bisbe , 5|Barcelona|08002|Barcelonès|Assistencial i Docent|Assistencial ; Altres activitats formatives ; Docent
Fundació Benèfica Maria Raventós, Fundació Privada|Fundació|123|1988/01/11|Carrer Plantada , 1|Barcelona|08017|Barcelonès|Assistencial|Assistencial ; Famílies
Fundació Benèfica Privada Quetzal|Fundació|1653|2002/05/30|Passeig Comerç , 6, 5è 1a|Sabadell|08203|Vallès Occidental|Assistencial|Infància i adolescència ; Assistencial
Fundació BenèficoPrivada Rafael de Panasachs|Fundació|724|1993/09/29|Passeig de Sant Antoni , 100|Tarragona|43003|Tarragonès|Assistencial i Docent|Discapacitats ; Assistencial ; Docent
Fundació Biblioteca Josep Pla|Fundació|519|1991/04/16|Carrer Nou , 49-51|Palafrugell|17200|Baix Empordà|Cultural|Cultural ; Preservació del patrimoni cultural
Fundació Biblioteca Social|Fundació|2868|2014/11/12|Carrer Mare de Déu de Montserrat , 137, s/àtc 1a|Barcelona|08041|Barcelonès|Cultural|Cultural
Fundació Biociència|Fundació|684|1993/06/22|Avinguda Marquès de Montoliu , 2, 2n 2a|Tarragona|43002|Tarragonès|Fins Científics|Fins científics
Fundació Bizcabar|Fundació|2867|2014/11/07|Carrer Consell de Cent , 335, pral.|Barcelona|08007|Barcelonès|Assistencial|Assistencial
Fundació Bleher-Triadú|Fundació|2938|2015/12/17|Carrer Sant Francesc , 14|Valldoreix|08197|Vallès Occidental|Cultural|Cultural
Fundació Bona Nit Barcelona|Fundació|2846|2014/07/04|Carrer de Tànger , 148, Esc., 13, 1r 7a|Barcelona|08018|Barcelonès|Cultural|Cultural
Fundació Bonanova|Fundació|1469|2000/11/07|Passeig Circumval·lació , 8|Barcelona|08003|Barcelonès|Docent|Altres activitats formatives ; Docent
Fundació Bosch i Cardellach, Fundació Privada d'Estudis d'Àmbit Històric, Social i Cultural|Fundació|276|1986/12/04|Carrer Indústria , 18, bxs.|Sabadell|08202|Vallès Occidental|Cultural|Cultural ; Promoció
Fundació Bosch i Gimpera|Fundació|22|1984/03/08|Carrer Baldiri Reixac , 4-6|Barcelona|08028|Barcelonès|Cultural|Cultural ; Altres activitats formatives
Fundació Brafa|Fundació|858|1995/01/31|Carrer L'Artesania , 75|Barcelona|08042|Barcelonès|Cultural i Docent|Cultural ; Esportives ; Docent
Fundació Brugada|Fundació|2878|2015/01/16|Carrer Sant Lluís , 78, 5è 2a|Barcelona|08024|Barcelonès|Cultural|Cultural
Fundació Burriac|Fundació|917|1995/07/28|Camí de Can Segarra , 40|Cabrera de Mar|08349|Maresme|Cultural|Preservació del patrimoni cultural ; Cultural
Fundació CDEB- Observatori Sociològic Internacional de l'Esport, Fundación CDEB- Observatorio Sociológico Internacional del Deporte, CDEB Foundation - Internacional Sociological Sport Observatory|Fundació|2832|2014/06/02|Avinguda Litoral , 86-96|Barcelona|08005|Barcelonès|Cultural|Cultural
Fundació CEO del Maresme|Fundació|2958|2016/04/11|Carrer Galícia , 191|Mataró|08303|Maresme|Assistencial|Assistencial
Fundació COAATT, Fundació del COAATT per a la millora de l'edificació|Fundació|2906|2015/06/09|Rambla President Francesc Macià , 6|Tarragona|43005|Tarragonès|Cultural|Cultural
Fundació CTM Centre Tecnològic|Fundació|719|1993/09/10|Plaça de la Ciència , 2|Manresa|08243|Bages|Cultural|Cultural
Fundació Caixa Rural Castelldans|Fundació|2629|2010/06/08|Carrer Bonaire , 11|Castelldans|25154|Garrigues|Assistencial|Assistencial
Fundació Camerata XXI|Fundació|1712|2002/11/04|Plaça del Teatre , 1|Reus|43201|Baix Camp|Cultural|Cultural ; Realització actes culturals ; Promoció
Fundació Campus Arnau d'Escala|Fundació|1640|2002/04/08|Carrer Pic de Peguera , 15, porta B, des.9|Girona|17003|Gironès|Assistencial i Docent|Docent ; Assistencial
Fundació Can Caralleu Esport, Fundació Privada|Fundació|2893|2015/03/10|Carrer dels Esports , 2-8|Barcelona|08017|Barcelonès|Assistencial i Cultural|Assistencial ; Cultural
Fundació Can Codina|Fundació|1681|2002/08/20|Carretera de Manresa , 2|Tona|08551|Osona|Assistencial|3a edat ; Assistencial
Fundació Can Planoles|Fundació|1237|1998/12/04|Carrer de la Residència , s/n|Roda de Ter|08510|Osona|Assistencial|Assistencial ; 3a edat
Fundació Canpedró|Fundació|2941|2016/01/13|Carrer Sant Crist , 13, bxs.|Barcelona|08014|Barcelonès|Assistencial|Assistencial
Fundació Cardona Històrica|Fundació|2108|2005/07/20|Plaça de la Fira , 1|Cardona|08261|Bages|Cultural|
Fundació Carles Blanch|Fundació|1091|1997/08/29|Carrer Carrasco i Formiguera , 32|Barcelona|08017|Barcelonès|Cultural i Docent|Docent ; Cultural ; Infància i adolescència
Fundació Carles Pi i Sunyer, d'Estudis Autonòmics i Locals, Fundació Privada|Fundació|353|1988/02/24|Carrer Gran Via de les Corts Catalanes , 491|Barcelona|08015|Barcelonès|Cultural|Cultural ; Promoció ; Jurídica
Fundació Carta de la Pau Dirigida a l'ONU|Fundació|1656|2002/06/13|Carrer Modolell , 41, 2n|Barcelona|08021|Barcelonès|Cultural|Cultural ; Realització actes culturals
Fundació Carulla|Fundació|79|1984/09/12|Carrer Aribau , 185, 3a|Barcelona|08021|Barcelonès|Cultural|Promoció ; Cultural
